iter	Passed	Remaining
0	2	265
1	4	236
2	7	233
3	9	227
4	11	217
5	13	210
6	15	206
7	17	203
8	19	199
9	21	195
10	23	193
11	26	192
12	28	189
13	30	186
14	32	184
15	34	181
16	36	179
17	39	177
18	41	175
19	42	171
20	45	169
21	47	167
22	49	164
23	51	162
24	53	159
25	55	156
26	57	154
27	59	152
28	61	150
29	63	147
30	65	144
31	66	142
32	68	139
33	70	136
34	72	133
35	73	131
36	75	128
37	77	126
38	79	123
39	80	121
40	82	119
41	84	117
42	86	114
43	88	112
44	90	110
45	92	108
46	93	105
47	95	103
48	97	101
49	99	99
50	101	97
51	103	95
52	104	92
53	106	90
54	108	88
55	110	86
56	112	84
57	114	82
58	115	80
59	117	78
60	119	76
61	121	74
62	122	72
63	124	69
64	125	67
65	127	65
66	129	63
67	131	61
68	133	59
69	135	57
70	136	55
71	138	53
72	141	52
73	143	50
74	145	48
75	147	46
76	149	44
77	151	42
78	153	40
79	155	38
80	156	36
81	158	34
82	160	32
83	162	31
84	164	29
85	166	27
86	168	25
87	172	23
88	188	23
89	192	21
90	195	19
91	197	17
92	200	15
93	203	12
94	206	10
95	209	8
96	212	6
97	215	4
98	218	2
99	222	0
